,date,lower,median,upper,canton
0,2022-01-15,16.18084819022245,16.396696138456328,16.61542343740218,AG
1,2022-01-16,16.776001927479054,17.09289530346172,17.4157746951933,AG
2,2022-01-17,16.46672231503295,16.822620101679,17.186209961593566,AG
3,2022-01-18,15.90125085449397,16.49372298266679,17.108270306424767,AG
4,2022-01-19,15.65013499433894,16.195544766657413,16.759962159028245,AG
5,2022-01-20,18.293598836858504,18.78567772064366,19.290993017341695,AG
6,2022-01-21,16.4909341654188,17.04951572044954,17.627017571352596,AG
7,2022-01-22,17.306764885858904,17.884235670128334,18.480974787265524,AG
8,2022-01-23,16.53624876329984,17.053029820215194,17.58596101278763,AG
9,2022-01-24,15.97369739647951,16.483758872954105,17.010107293104042,AG
10,2022-01-25,18.087836299974175,18.58167845718031,19.08900371276203,AG
11,2022-01-26,17.48342400278571,18.374220506377004,19.31040390962159,AG
12,2022-01-27,16.54846518026349,17.060329014773597,17.58802541032337,AG
13,2022-01-28,18.662032987250182,19.239202788907843,19.834223002692262,AG
0,2022-01-15,0.0,0.0,0.0,AI
1,2022-01-16,0.0,0.0,0.0,AI
2,2022-01-17,0.0,0.0,0.0,AI
3,2022-01-18,0.0,0.0,0.0,AI
4,2022-01-19,0.0,0.0,0.0,AI
5,2022-01-20,0.0,0.0,0.0,AI
6,2022-01-21,0.0,0.0,0.0,AI
7,2022-01-22,0.0,0.0,0.0,AI
8,2022-01-23,0.0,0.0,0.0,AI
9,2022-01-24,0.0,0.0,0.0,AI
10,2022-01-25,0.0,0.0,0.0,AI
11,2022-01-26,0.0,0.0,0.0,AI
12,2022-01-27,0.0,0.0,0.0,AI
13,2022-01-28,0.0,0.0,0.0,AI
0,2022-01-15,1.7242979445886168,1.8381248106382548,1.9594657814720131,AR
1,2022-01-16,1.018267728205834,1.1870040758439149,1.3837015914789488,AR
2,2022-01-17,0.8826136670439731,1.0380581006690832,1.220879146335515,AR
3,2022-01-18,0.4697837780989202,0.5589098709609626,0.6649447222756666,AR
4,2022-01-19,0.41163282045155936,0.4923097290007835,0.5887986992945493,AR
5,2022-01-20,0.28696087931231634,0.4014656762351154,0.5616608423460491,AR
6,2022-01-21,0.42711527087714024,0.5108962283354799,0.6111112711830428,AR
7,2022-01-22,0.016545819130325753,0.02184362682160913,0.02883774015438109,AR
8,2022-01-23,0.29231150713098847,0.38404135220311836,0.5045568053395465,AR
9,2022-01-24,0.11602400163491394,0.15480163577914827,0.20653956166160164,AR
10,2022-01-25,0.14169998692070446,0.18779483230929842,0.24888427873894528,AR
11,2022-01-26,0.2441849143709451,0.32137296073674615,0.42296052628299163,AR
12,2022-01-27,0.10558058407003036,0.12841404641598175,0.15618560422045197,AR
13,2022-01-28,0.19405511063157727,0.2954865837565925,0.44993569556592755,AR
0,2022-01-15,27.40690644984533,27.928860859887568,28.460755698874646,BE
1,2022-01-16,26.35442311780254,26.916383409731395,27.490326486041194,BE
2,2022-01-17,26.105224972076147,26.759421553496416,27.4300122923162,BE
3,2022-01-18,27.243420029036965,28.009866565887148,28.797875751377756,BE
4,2022-01-19,27.25978922782241,28.09756987010074,28.961098195118304,BE
5,2022-01-20,25.69339151208066,27.049439200654056,28.477056472901168,BE
6,2022-01-21,27.279561927227615,28.26183872502171,29.279485141655673,BE
7,2022-01-22,25.851706598208267,26.558100074442855,27.283795632007017,BE
8,2022-01-23,26.57938640547081,27.583192073120486,28.62490778891929,BE
9,2022-01-24,25.267291680097003,26.09305437898844,26.945803905099577,BE
10,2022-01-25,24.760489809644092,25.751970824643323,26.783153582647696,BE
11,2022-01-26,26.87709232509929,27.827224622372473,28.810945053786142,BE
12,2022-01-27,26.301334387512114,27.19051412854948,28.109754725063695,BE
13,2022-01-28,25.602317963838964,26.566709582230768,27.567428036143404,BE
0,2022-01-15,5.027770263814951,5.4210916990609626,5.845182589414615,BL
1,2022-01-16,4.402848927972936,5.183980404171021,6.103696327187343,BL
2,2022-01-17,2.450851991022044,2.7523458732347024,3.0909283113228847,BL
3,2022-01-18,4.389836117257475,5.219206215363842,6.205268896350206,BL
4,2022-01-19,2.6990411652829995,3.225567209904244,3.8548073884299354,BL
5,2022-01-20,2.917560454396297,3.6152911604839293,4.479883237853166,BL
6,2022-01-21,2.1858264990656475,2.6767323317830836,3.2778886975135526,BL
7,2022-01-22,2.812619333398285,3.2398773256967375,3.7320390146366913,BL
8,2022-01-23,1.622761579586363,1.9395946349033106,2.318287168657663,BL
9,2022-01-24,2.4060422544180793,2.876303574948108,3.438477541309925,BL
10,2022-01-25,0.8945028484315948,1.07593872567293,1.2941760257471298,BL
11,2022-01-26,2.3583714305280625,2.8334707354291027,3.4042798791602844,BL
12,2022-01-27,1.6458640329049377,1.8837462622655392,2.1560104052679936,BL
13,2022-01-28,0.3833611208742833,0.5261489980370927,0.7221200926794533,BL
0,2022-01-15,15.993031919107938,16.228197972701118,16.466821974295797,BS
1,2022-01-16,15.201484340705054,15.658112008950155,16.12845602375285,BS
2,2022-01-17,13.364866440162565,14.1899263303045,15.065920049480104,BS
3,2022-01-18,14.312464541252968,15.30340300037462,16.362950120634686,BS
4,2022-01-19,12.762277971085691,13.497687050846881,14.275473088375369,BS
5,2022-01-20,11.760792746771202,12.315014935004735,12.895354600226772,BS
6,2022-01-21,11.98640716983575,12.616641657112098,13.280013305785067,BS
7,2022-01-22,11.858768662246193,12.542178381763984,13.264972362669575,BS
8,2022-01-23,12.440332011191545,13.165145088364044,13.932188067147498,BS
9,2022-01-24,11.816986030129748,12.378517381352465,12.96673214047649,BS
10,2022-01-25,12.73585795546431,13.385869462345116,14.069056194684226,BS
11,2022-01-26,12.483954297054776,13.24290902190171,14.048003956866472,BS
