,date,lower,median,upper,canton
0,2022-01-15,7.970302914948005,8.224096286631465,8.48597104194586,FR
1,2022-01-16,7.8246106977249426,7.994561110236489,8.168202842844158,FR
2,2022-01-17,7.916040582253936,8.23621368513899,8.56933654677602,FR
3,2022-01-18,8.482782569261238,8.969057939515816,9.483209037314452,FR
4,2022-01-19,8.48732032060816,8.783542678886308,9.09010371677465,FR
5,2022-01-20,8.351372912268737,8.737309180229053,9.141080456216411,FR
6,2022-01-21,7.524029403681506,8.012951829479967,8.533645148987548,FR
7,2022-01-22,8.044217126852805,8.473589642103104,8.925880578617411,FR
8,2022-01-23,7.510578846500496,7.912896062011305,8.336764098731026,FR
9,2022-01-24,10.12283272798095,10.625921447024853,11.154012876874162,FR
10,2022-01-25,8.460543023207048,9.026069874641685,9.62939815546641,FR
11,2022-01-26,7.649974038894629,8.73819921290022,9.981226746145008,FR
12,2022-01-27,8.423981046107764,9.029252170677665,9.678012606564023,FR
13,2022-01-28,7.810644176040783,8.213963130367713,8.638108302770016,FR
0,2022-01-15,15.425593175490036,15.921181408926845,16.432691733289225,GE
1,2022-01-16,14.35224199714164,15.066361156203184,15.81601247626371,GE
2,2022-01-17,15.667484365625539,16.51577003033549,17.4099844831112,GE
3,2022-01-18,14.379448376134805,15.326690745247578,16.33633245558484,GE
4,2022-01-19,16.43564666755785,17.64134694278341,18.935496013671415,GE
5,2022-01-20,13.986709657566498,15.642500984127771,17.494310172233227,GE
6,2022-01-21,16.02845060404182,17.220496834571993,18.50119631368022,GE
7,2022-01-22,16.997712905746674,19.137203065986135,21.54598934689451,GE
8,2022-01-23,12.259786646216964,14.416716004918294,16.953125398034686,GE
9,2022-01-24,10.465577705059902,12.814843972137947,15.691463066663104,GE
10,2022-01-25,19.71204915593685,21.377382921126916,23.18340913932088,GE
11,2022-01-26,18.19680039783082,19.67715009738768,21.27792949804954,GE
12,2022-01-27,18.804806369018355,20.575877009744556,22.513750283419434,GE
13,2022-01-28,16.324434882942086,17.845404627717667,19.50808518705504,GE
0,2022-01-15,8.962901495743163,9.145700172539229,9.33222703448318,GR
1,2022-01-16,7.717250546740778,7.900077809908167,8.087236383553922,GR
2,2022-01-17,6.904115312124868,7.204832595756525,7.518647992699814,GR
3,2022-01-18,7.8162717123299155,8.162774313384496,8.524637697297761,GR
4,2022-01-19,8.04157611250897,8.529209018137069,9.0464114816882,GR
5,2022-01-20,7.1763448281282125,7.479233724058193,7.794906521190648,GR
6,2022-01-21,7.0829523179251614,7.555371399113488,8.05929991002168,GR
7,2022-01-22,8.135664403156873,8.528426711808285,8.940150253796379,GR
8,2022-01-23,1.79917538446649,1.8890343266867307,1.9833812302067169,GR
9,2022-01-24,6.1399262862153865,6.475290711090754,6.828972831037556,GR
10,2022-01-25,7.863280735097906,8.326802716220508,8.817648232419865,GR
11,2022-01-26,1.3164279628678524,1.3686568175150204,1.4229578351173207,GR
12,2022-01-27,0.44537382523720026,0.4670968847928468,0.48987948419955396,GR
13,2022-01-28,1.1416214703247276,1.219873322331637,1.303488906978201,GR
0,2022-01-15,2.926590427417402,3.0664236425098963,3.2129381232348893,JU
1,2022-01-16,2.7123751759687877,2.951633477519208,3.2119967262642377,JU
2,2022-01-17,2.7808642161189265,3.214510118156503,3.7157784403266354,JU
3,2022-01-18,2.490333976487111,2.8353995613510645,3.2282781138658327,JU
4,2022-01-19,1.0832176073639637,1.4083097428103328,1.830967589717271,JU
5,2022-01-20,1.379013570554727,1.7571728054165074,2.239032547629874,JU
6,2022-01-21,1.21490788544032,1.442691167355864,1.713181574759701,JU
7,2022-01-22,1.3853698976284017,1.8234514259334296,2.4000630506196527,JU
8,2022-01-23,1.2175804182766927,1.4755629095714562,1.7882070600187636,JU
9,2022-01-24,1.1145555223799744,1.372732957072801,1.6907150281844894,JU
10,2022-01-25,0.6333757613157516,0.7685425944539188,0.9325549785216758,JU
11,2022-01-26,1.716222036306432,2.008380359987122,2.3502737903674156,JU
12,2022-01-27,0.9151945342629854,1.1234729018092975,1.3791508950785614,JU
13,2022-01-28,0.945074255738674,1.0990913097462929,1.2782082464151374,JU
0,2022-01-15,3.400761035378642,3.7100492330165102,4.047466190129956,NE
1,2022-01-16,3.2769513559907106,3.585784728311967,3.923723827724642,NE
2,2022-01-17,2.0348644513697396,2.518708109685859,3.11759858870551,NE
3,2022-01-18,3.4540220916712507,4.369222221203119,5.5269197218765465,NE
4,2022-01-19,3.697904953369117,4.533631983436536,5.558233437696218,NE
5,2022-01-20,3.066839446386264,4.004595870351871,5.229092805538229,NE
6,2022-01-21,2.665781434913989,3.448508381269689,4.461059672760078,NE
7,2022-01-22,3.50258510332906,4.167703486674849,4.959123573138159,NE
8,2022-01-23,2.8151565225458497,3.490532985960721,4.32793716033295,NE
9,2022-01-24,4.136456090981285,5.108384004725175,6.3086822549931645,NE
10,2022-01-25,2.944730175109963,3.814736016311712,4.94178074349455,NE
11,2022-01-26,1.3313110671853996,1.6908140806253447,2.1473961463303928,NE
12,2022-01-27,1.9124823088289529,2.5091629606248222,3.292003661370658,NE
13,2022-01-28,2.4124437752284633,3.149966043414529,4.112960549194529,NE
0,2022-01-15,12.209766483162063,12.506949335732386,12.811365549234191,TI
1,2022-01-16,13.030404172405786,13.556649223076754,14.10414717194578,TI
2,2022-01-17,13.34415671871438,13.90020911945586,14.479432281669045,TI
3,2022-01-18,16.566565225865425,17.390076032568338,18.254522907762844,TI
4,2022-01-19,14.932455533215027,15.970117605386177,17.07988721363051,TI
5,2022-01-20,17.669048461673178,18.521350628388653,19.414765308036763,TI
6,2022-01-21,15.688451782085025,16.769188958403273,17.92437534491128,TI
7,2022-01-22,20.95111653645677,23.574197542946543,26.525688443707807,TI
8,2022-01-23,21.651369499735807,22.969722165532154,24.368349372457807,TI
9,2022-01-24,18.358454961406697,20.300452846226243,22.447879553491457,TI
10,2022-01-25,26.014629113859222,28.8513286491364,31.997348921535092,TI
11,2022-01-26,22.023299391312506,23.647964115614613,25.392480793953766,TI
12,2022-01-27,18.68459139860261,19.640763120957644,20.64586630470389,TI
13,2022-01-28,14.913001225924974,16.262365004265217,17.733822422826673,TI
0,2022-01-15,37.621870424665545,37.97389655165461,38.32921657107072,VD
1,2022-01-16,39.67569272154594,40.16306654446315,40.65642723810576,VD
2,2022-01-17,41.8913376835351,42.82133570649061,43.77197991480393,VD
3,2022-01-18,34.57161398376263,35.49094113421593,36.434715000114956,VD
4,2022-01-19,40.83224156854293,41.52788214337861,42.23537403449693,VD
5,2022-01-20,35.60064478387975,36.31659786792201,37.04694925350239,VD
6,2022-01-21,37.164077993679356,37.90658414069683,38.6639249185762,VD
7,2022-01-22,38.42386417463535,39.89092626699896,41.41400227751168,VD
8,2022-01-23,36.75829537878018,37.868675658976755,39.01259787450913,VD
9,2022-01-24,36.214029899683766,37.46262828897061,38.75427623507421,VD
10,2022-01-25,36.88273401216945,38.03788720367181,39.229219353474754,VD
11,2022-01-26,35.746029918693075,36.81796309249036,37.92204083539645,VD
12,2022-01-27,41.13284124441929,42.522305571214694,43.958705899925576,VD
13,2022-01-28,38.91307845725931,40.40353780645066,41.951085136332914,VD
0,2022-01-15,8.660251624477725,8.886647534145881,9.11896187553369,VS
1,2022-01-16,8.564393027833752,8.831131320104303,9.106177184940965,VS
2,2022-01-17,7.6768657800628,8.32005152758448,9.017124879457587,VS
3,2022-01-18,8.42535485327607,8.970745596044763,9.551440615900624,VS
4,2022-01-19,8.595827842822779,9.293487580112204,10.04777119562892,VS
5,2022-01-20,7.394273909859429,7.929707369651266,8.503912586259197,VS
6,2022-01-21,6.103342357919539,6.841585674243076,7.669124848825192,VS
7,2022-01-22,8.803090469873123,9.38518740574611,10.00577501076675,VS
8,2022-01-23,7.66837277798784,8.40448675146507,9.211262884651575,VS
9,2022-01-24,6.347178742639224,7.590588505077097,9.077581739796852,VS
10,2022-01-25,6.556823478774693,7.612980703727585,8.83926117318006,VS
11,2022-01-26,7.724075262621555,8.918290267950672,10.297142194912942,VS
12,2022-01-27,7.877411030508416,8.648033431751323,9.494043404240344,VS
13,2022-01-28,6.711629137748185,8.414654619786248,10.549810026309986,VS
