,date,lower,median,upper,canton
0,2022-01-11,41.13249621066919,42.17138836815449,43.23652004461662,FR
1,2022-01-12,48.46147420842197,50.3685982981003,52.35077421715116,FR
2,2022-01-13,49.456506694426636,52.28096319182414,55.266724137086946,FR
3,2022-01-14,31.142850759911486,33.753403768043256,36.58278667908932,FR
4,2022-01-15,42.793925028997215,45.839178183708235,49.10113421785818,FR
5,2022-01-16,37.84593793442912,40.118248256588444,42.52699050465585,FR
6,2022-01-17,32.029278230561154,33.789255619941535,35.64594203875532,FR
7,2022-01-18,45.79226520096786,48.08244828756488,50.487169026909946,FR
8,2022-01-19,39.32030345959487,41.16020860332531,43.08620796912615,FR
9,2022-01-20,27.540325217748777,30.45349811051225,33.674821914204784,FR
10,2022-01-21,39.81193267034242,42.75944391800141,45.925176738248055,FR
11,2022-01-22,36.812248750729985,38.17051655109008,39.578900589390095,FR
12,2022-01-23,44.96738292874947,48.69615743748648,52.7341284889495,FR
13,2022-01-24,38.84634906728827,41.010447358797265,43.29510579373697,FR
0,2022-01-11,215.44918511585252,220.57552934639247,225.8238485343028,GE
1,2022-01-12,216.7514868804799,223.58201336848006,230.6277913999633,GE
2,2022-01-13,224.7410814347167,230.5332222156835,236.47464097739316,GE
3,2022-01-14,220.02776816540754,230.1344649414257,240.70540002960814,GE
4,2022-01-15,199.10773884217397,209.15461769932153,219.7084571364906,GE
5,2022-01-16,246.410697734009,256.42903507672173,266.8546886765425,GE
6,2022-01-17,221.5001554329664,235.37049053956727,250.10938574082516,GE
7,2022-01-18,193.51815322380324,200.708510719156,208.1660330259215,GE
8,2022-01-19,223.99031774779402,239.65687906800903,256.4192071430907,GE
9,2022-01-20,193.89450799315816,200.7785466396591,207.90699647953022,GE
10,2022-01-21,177.6277963384239,188.87120471104555,200.8262935438171,GE
11,2022-01-22,225.87426323592274,234.0149302523031,242.44899262290474,GE
12,2022-01-23,202.977048924211,216.35510533311137,230.61489883607373,GE
13,2022-01-24,210.08210074692684,216.70610424770985,223.53896620060456,GE
0,2022-01-11,37.74146690561509,38.40739344659789,39.08506987952564,GR
1,2022-01-12,37.94997307336534,39.081568263177346,40.24690544461423,GR
2,2022-01-13,34.19365446624676,35.5674332568393,36.996405567836185,GR
3,2022-01-14,35.97461194860741,37.83766584938684,39.797203621685654,GR
4,2022-01-15,39.41196667801725,41.23917895524312,43.15110420133251,GR
5,2022-01-16,40.16599392828263,42.896590524523866,45.81282071381691,GR
6,2022-01-17,40.993090182756745,43.28629624495368,45.70778719663448,GR
7,2022-01-18,41.00827453665818,44.019215686080784,47.251228477939414,GR
8,2022-01-19,42.64152969673749,46.119187899617415,49.88046882105528,GR
9,2022-01-20,35.43853168858325,37.61087953400005,39.91639020915698,GR
10,2022-01-21,37.081135032139805,39.21852589140019,41.479117933183446,GR
11,2022-01-22,35.140383518658275,37.33931651481899,39.675849213585025,GR
12,2022-01-23,39.42664028239168,42.80743372935578,46.478126702355326,GR
13,2022-01-24,38.796912936990765,40.42183993759686,42.11482358388471,GR
0,2022-01-11,38.25836124369579,39.76350817879134,41.32787007298557,JU
1,2022-01-12,36.47763060943742,39.396393664404606,42.548701980637674,JU
2,2022-01-13,37.73956987483277,40.2357225023268,42.896974466151654,JU
3,2022-01-14,38.828006026595595,41.739113036950684,44.868478590377336,JU
4,2022-01-15,19.74780365165059,24.280723370999606,29.854131518556475,JU
5,2022-01-16,25.20148000501446,28.221574913057438,31.603591948363267,JU
6,2022-01-17,25.502483872622488,28.778466531077296,32.475273389719824,JU
7,2022-01-18,27.50990895575782,31.284877440246014,35.57785516576067,JU
8,2022-01-19,21.262068824916618,24.54214332656689,28.328231087085374,JU
9,2022-01-20,20.14413720433599,22.656691048270737,25.482632691078912,JU
10,2022-01-21,14.542872219825291,16.2887253490025,18.244165903729854,JU
11,2022-01-22,16.396334612893497,18.47651792040706,20.8206115892922,JU
12,2022-01-23,26.878703713956085,30.61099955131185,34.86155074673052,JU
13,2022-01-24,24.439348938113465,28.874135890615815,34.11366340162844,JU
0,2022-01-11,63.65431880670235,66.68221150318145,69.85413424119209,NE
1,2022-01-12,62.459969839613876,67.46995664077487,72.88180030821772,NE
2,2022-01-13,62.06749493937351,68.22158643005609,74.98586594448098,NE
3,2022-01-14,61.615323833941886,67.47610925179117,73.89436647335356,NE
4,2022-01-15,49.79835663052163,54.312655491817566,59.236182600549434,NE
5,2022-01-16,54.441620133578155,60.13056324026664,66.41397935477028,NE
6,2022-01-17,37.94470049359085,40.96678461149743,44.22956090240577,NE
7,2022-01-18,42.99388494095126,58.79418802490071,80.40112100255567,NE
8,2022-01-19,50.806562916024795,55.34503647883656,60.28892503329784,NE
9,2022-01-20,49.012332820495935,53.99021231941919,59.47366425041895,NE
10,2022-01-21,57.59988623511029,65.4745641175249,74.42581620528911,NE
11,2022-01-22,61.71033313165188,70.449043532226,80.42522998567098,NE
12,2022-01-23,45.89544948729677,53.60743284806298,62.61528950391907,NE
13,2022-01-24,66.29327269409475,76.67232405585848,88.67634734602913,NE
0,2022-01-11,120.95606919335707,123.27695812245005,125.64237995887963,TI
1,2022-01-12,107.5862797281888,111.72046667755254,116.01351683675558,TI
2,2022-01-13,124.23894939327243,130.54152723843018,137.1638316080656,TI
3,2022-01-14,107.19961133931733,111.44091396520923,115.85002175139653,TI
4,2022-01-15,137.07058919903886,141.80856493435002,146.71031332285813,TI
5,2022-01-16,111.27657337360053,115.74633341083587,120.39563487520871,TI
6,2022-01-17,101.49805519268621,107.65954799186613,114.19507745058868,TI
7,2022-01-18,104.19068543941859,112.64996118070269,121.796048279118,TI
8,2022-01-19,93.49466676066402,99.02709939770043,104.88690697433309,TI
9,2022-01-20,105.49103945641242,110.81393160482004,116.40540752081189,TI
10,2022-01-21,120.26662696504886,126.63955414641829,133.35018266592238,TI
